trial_id,persona_id,risk_tolerance,decision_style,risk_posture,exploration_style,winner,chip_delta,pot_size,strategy_basis,reward
texas-holdem_web__4TpsiBW,0930,unknown,unknown,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__4YKvGWQ,0210,unknown,unknown,unknown,unknown,unknown,0,0,unknown,0.0
texas-holdem_web__4Zpsh8S,0159,unknown,unknown,balanced,compared_multiple,opponent,-20,40,hand_strength,1.0
texas-holdem_web__4aLuY9F,0242,unknown,unknown,balanced,compared_multiple,player,60,120,hand_strength,1.0
texas-holdem_web__4daupRd,0871,unknown,unknown,balanced,compared_multiple,tie,0,40,hand_strength,1.0
texas-holdem_web__4jQid4F,0733,unknown,unknown,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__4qC7Syb,0901,unknown,unknown,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__4qSM9kU,0847,unknown,unknown,balanced,compared_multiple,opponent,-80,160,hand_strength,1.0
texas-holdem_web__4reY3xF,0690,unknown,unknown,balanced,quick_pick,player,20,80,hand_strength,1.0
texas-holdem_web__4sPj7Vm,0206,unknown,unknown,balanced,compared_multiple,opponent,-200,400,hand_strength,1.0
texas-holdem_web__4xbTKiC,0476,unknown,unknown,risk_seeking,compared_multiple,opponent,-70,140,hand_strength,1.0
texas-holdem_web__4yi3bzL,0504,unknown,unknown,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__4zKJWsu,0020,unknown,unknown,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__59bZGgp,0937,unknown,unknown,risk_averse,compared_multiple,player,70,140,hand_strength,1.0
texas-holdem_web__5BExjDn,0102,unknown,unknown,opportunistic,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__5KAU2gC,0835,unknown,unknown,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__5MG8jEm,0699,unknown,unknown,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__5cufBAb,0153,unknown,unknown,balanced,hesitant,player,20,40,hand_strength,1.0
texas-holdem_web__5dZrTPu,0164,unknown,unknown,balanced,compared_multiple,player,20,80,hand_strength,1.0
texas-holdem_web__5fxVD3s,0135,unknown,unknown,risk_averse,quick_pick,opponent,-80,220,hand_strength,1.0
texas-holdem_web__5gsGend,0588,unknown,unknown,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__5n5egmi,0119,unknown,unknown,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__5n7sxs5,0522,unknown,unknown,balanced,compared_multiple,opponent,-200,400,hand_strength,1.0
texas-holdem_web__5sJnhii,0478,unknown,unknown,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__5ucLF23,0585,unknown,unknown,balanced,compared_multiple,player,60,120,hand_strength,1.0
texas-holdem_web__5vmYcbP,0172,unknown,unknown,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__5yFF4QN,0746,unknown,unknown,risk_averse,quick_pick,player,70,210,hand_strength,1.0
texas-holdem_web__5ztsUqS,0276,unknown,unknown,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__6BDZ9He,0692,unknown,unknown,balanced,compared_multiple,tie,0,160,hand_strength,1.0
texas-holdem_web__6CJc2iZ,0361,unknown,unknown,risk_seeking,compared_multiple,opponent,-260,520,hand_strength,1.0
texas-holdem_web__6G5BkJp,0027,unknown,unknown,risk_seeking,quick_pick,player,20,90,hand_strength,1.0
texas-holdem_web__6HJBKv5,0194,unknown,unknown,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__6HdsRb6,0496,unknown,unknown,balanced,compared_multiple,opponent,-70,200,hand_strength,1.0
texas-holdem_web__6LYwVDd,0660,unknown,unknown,balanced,compared_multiple,player,280,560,hand_strength,1.0
texas-holdem_web__6LZYZ5r,0790,unknown,unknown,risk_seeking,compared_multiple,opponent,-200,400,hand_strength,1.0
texas-holdem_web__6QY99Mc,0975,unknown,unknown,risk_averse,deep_research,opponent,-20,100,hand_strength,1.0
texas-holdem_web__6VKcjYT,0068,unknown,unknown,balanced,compared_multiple,player,180,360,hand_strength,1.0
texas-holdem_web__6VWGjiy,0151,unknown,unknown,balanced,quick_pick,player,70,220,hand_strength,1.0
texas-holdem_web__6cMBFia,0319,unknown,unknown,balanced,compared_multiple,player,260,520,hand_strength,1.0
texas-holdem_web__6mnGKXY,0735,unknown,unknown,balanced,compared_multiple,opponent,-190,380,hand_strength,1.0
texas-holdem_web__6p3x6ks,0561,unknown,unknown,risk_averse,compared_multiple,player,20,80,hand_strength,1.0
texas-holdem_web__6wHiSzT,0393,unknown,unknown,risk_seeking,compared_multiple,opponent,-80,220,hand_strength,1.0
texas-holdem_web__6x6Bvd5,0225,unknown,unknown,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__7465jmi,0170,unknown,unknown,balanced,compared_multiple,player,20,60,hand_strength,1.0
texas-holdem_web__7BBP6ae,0325,unknown,unknown,balanced,quick_pick,player,20,90,hand_strength,1.0
texas-holdem_web__7QuMHwQ,0878,unknown,unknown,balanced,compared_multiple,player,20,80,hand_strength,1.0
texas-holdem_web__7R9Ntmn,0442,unknown,unknown,risk_seeking,compared_multiple,player,260,520,hand_strength,1.0
texas-holdem_web__7Z5wi7u,0786,unknown,unknown,risk_averse,quick_pick,player,20,40,hand_strength,1.0
texas-holdem_web__7faZpKz,0555,unknown,unknown,balanced,compared_multiple,player,20,80,hand_strength,1.0
texas-holdem_web__7fdfJFv,0433,unknown,unknown,balanced,quick_pick,player,20,70,hand_strength,1.0
texas-holdem_web__7gTniJc,0630,unknown,unknown,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__7ibN3s2,0250,unknown,unknown,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__7kCrxRU,0519,unknown,unknown,balanced,compared_multiple,player,200,400,hand_strength,1.0
texas-holdem_web__7kUyecG,0782,unknown,unknown,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__7qquJ5X,0332,unknown,unknown,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__7u9decu,0818,unknown,unknown,risk_seeking,quick_pick,tie,0,400,hand_strength,1.0
texas-holdem_web__89Skfhq,0710,unknown,unknown,risk_averse,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__8NX64Aa,0619,unknown,unknown,balanced,compared_multiple,opponent,-80,160,hand_strength,1.0
texas-holdem_web__8SA3hhS,0751,unknown,unknown,risk_averse,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__8TUizWo,0707,unknown,unknown,balanced,compared_multiple,player,70,220,hand_strength,1.0
texas-holdem_web__8WTfgn2,0701,unknown,unknown,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__8WuLqNz,0060,unknown,unknown,risk_averse,quick_pick,opponent,-20,40,pot_control,1.0
texas-holdem_web__8gurP3J,0793,unknown,unknown,risk_seeking,compared_multiple,player,70,210,hand_strength,1.0
texas-holdem_web__8iX3emU,0640,unknown,unknown,opportunistic,quick_pick,player,20,80,hand_strength,1.0
texas-holdem_web__8jNGPpV,0130,unknown,unknown,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__8r5t4Ws,0495,unknown,unknown,opportunistic,compared_multiple,opponent,-200,400,hand_strength,1.0
texas-holdem_web__8syb4QG,0578,unknown,unknown,balanced,quick_pick,opponent,-20,40,hand_strength,1.0
texas-holdem_web__8xen26q,0941,unknown,unknown,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__92Zcqu5,0846,unknown,unknown,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__9AJY2JH,0301,unknown,unknown,risk_averse,compared_multiple,player,20,60,hand_strength,0.0
texas-holdem_web__9De4sjd,0104,unknown,unknown,balanced,quick_pick,opponent,-80,220,hand_strength,1.0
texas-holdem_web__9MNPTxD,0808,unknown,unknown,risk_seeking,quick_pick,opponent,-80,220,bluff,1.0
texas-holdem_web__9MhnDqc,0689,unknown,unknown,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__9PVBfgS,0796,unknown,unknown,risk_seeking,compared_multiple,player,20,60,hand_strength,1.0
texas-holdem_web__9Tqex4c,0891,unknown,unknown,balanced,compared_multiple,opponent,-80,220,pot_odds,1.0
texas-holdem_web__9UUafLB,0204,unknown,unknown,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__9b2Xair,0475,unknown,unknown,opportunistic,deep_research,tie,0,160,hand_strength,1.0
texas-holdem_web__9gmwYeY,0738,unknown,unknown,balanced,quick_pick,opponent,-80,220,hand_strength,1.0
texas-holdem_web__9jMBEtC,0607,unknown,unknown,balanced,compared_multiple,opponent,-80,220,hand_strength,1.0
texas-holdem_web__9nsfmNV,0828,unknown,unknown,risk_averse,quick_pick,player,20,60,hand_strength,1.0
texas-holdem_web__9uvszf7,0932,unknown,unknown,balanced,quick_pick,player,20,40,hand_strength,1.0
texas-holdem_web__A9m8zQ2,0455,unknown,unknown,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__AGtLtgB,0545,unknown,unknown,balanced,compared_multiple,player,20,80,hand_strength,1.0
texas-holdem_web__AUxxmoA,0922,unknown,unknown,balanced,compared_multiple,player,20,80,hand_strength,1.0
texas-holdem_web__AWp9S8g,0981,unknown,unknown,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__AZ8HnMa,0574,unknown,unknown,opportunistic,quick_pick,player,20,100,hand_strength,1.0
texas-holdem_web__Ac4hBAW,0108,unknown,unknown,balanced,quick_pick,opponent,-20,40,hand_strength,1.0
texas-holdem_web__AeT3Q7G,0655,unknown,unknown,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__AhPpSJg,0468,unknown,unknown,risk_seeking,compared_multiple,opponent,-80,220,hand_strength,1.0
texas-holdem_web__AkBNZTE,0494,unknown,unknown,balanced,quick_pick,player,20,40,hand_strength,1.0
texas-holdem_web__AstPq3n,0387,unknown,unknown,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__AtAYJPg,0356,unknown,unknown,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__Av3YKqJ,0261,unknown,unknown,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__AzrGk3V,0667,unknown,unknown,risk_seeking,quick_pick,player,20,90,hand_strength,1.0
texas-holdem_web__B7vujdS,0322,unknown,unknown,balanced,compared_multiple,player,20,80,hand_strength,1.0
texas-holdem_web__B9RVowT,0849,unknown,unknown,balanced,quick_pick,player,20,80,hand_strength,1.0
texas-holdem_web__BAoFfHN,0978,unknown,unknown,balanced,compared_multiple,opponent,-140,340,pot_odds,1.0
texas-holdem_web__BCMwCF7,0970,unknown,unknown,balanced,compared_multiple,player,120,240,hand_strength,1.0
texas-holdem_web__BGCsLNR,0889,unknown,unknown,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__BMBNrT9,0205,unknown,unknown,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__BQdhbmL,0999,unknown,unknown,risk_averse,quick_pick,player,70,240,hand_strength,1.0
texas-holdem_web__BSiJsEm,0990,unknown,unknown,risk_averse,quick_pick,opponent,-20,100,pot_odds,1.0
texas-holdem_web__BT3VArC,0678,unknown,unknown,balanced,quick_pick,player,20,40,hand_strength,1.0
texas-holdem_web__BTmTptr,0596,unknown,unknown,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__BYM6Tfo,0461,unknown,unknown,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__BZiP5xL,0363,unknown,unknown,opportunistic,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__Baow7Yf,0088,unknown,unknown,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__BbAaycS,0021,unknown,unknown,balanced,compared_multiple,player,200,400,hand_strength,1.0
texas-holdem_web__BkPE3w2,0376,unknown,unknown,balanced,compared_multiple,player,200,400,hand_strength,1.0
texas-holdem_web__Bkr6WvK,0405,unknown,unknown,balanced,compared_multiple,opponent,-60,180,hand_strength,1.0
texas-holdem_web__BnCM3f4,0157,unknown,unknown,balanced,compared_multiple,opponent,-140,340,hand_strength,1.0
texas-holdem_web__Bt64tjt,0230,unknown,unknown,balanced,quick_pick,player,20,90,hand_strength,1.0
texas-holdem_web__BtLRZxg,0674,unknown,unknown,risk_averse,compared_multiple,opponent,-140,340,hand_strength,1.0
texas-holdem_web__BwzVkFJ,0143,unknown,unknown,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__C2SmgkE,0632,unknown,unknown,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__C35UAUo,0652,unknown,unknown,balanced,quick_pick,player,70,140,hand_strength,1.0
texas-holdem_web__C9RF4en,0682,unknown,unknown,balanced,hesitant,opponent,-80,160,hand_strength,1.0
texas-holdem_web__CAR7B94,0765,unknown,unknown,balanced,compared_multiple,tie,0,280,hand_strength,1.0
texas-holdem_web__CDycFcy,0532,unknown,unknown,risk_averse,hesitant,player,60,120,hand_strength,1.0
texas-holdem_web__CGPKMiL,0977,unknown,unknown,opportunistic,quick_pick,player,280,560,hand_strength,1.0
texas-holdem_web__CNeB25f,0631,unknown,unknown,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__CQpwDan,0635,unknown,unknown,balanced,compared_multiple,opponent,-50,130,hand_strength,1.0
texas-holdem_web__CXaAuWP,0101,unknown,unknown,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__CaR4n6f,0280,unknown,unknown,opportunistic,compared_multiple,player,160,320,hand_strength,1.0
texas-holdem_web__CeQi68C,0349,unknown,unknown,balanced,compared_multiple,opponent,-80,220,pot_odds,1.0
texas-holdem_web__CgpBkND,0169,unknown,unknown,balanced,deep_research,opponent,-80,220,hand_strength,1.0
texas-holdem_web__Ckxw6bX,0216,unknown,unknown,balanced,compared_multiple,player,120,240,hand_strength,1.0
texas-holdem_web__Cm9qDqd,0224,unknown,unknown,balanced,compared_multiple,opponent,-20,100,pot_odds,1.0
texas-holdem_web__CnZ3k2R,0265,unknown,unknown,balanced,deep_research,opponent,-20,100,hand_strength,1.0
texas-holdem_web__DJrqhh7,0749,unknown,unknown,balanced,compared_multiple,player,280,560,hand_strength,1.0
texas-holdem_web__DLJhGo4,0544,unknown,unknown,risk_seeking,quick_pick,player,20,80,hand_strength,1.0
texas-holdem_web__DTjRYdz,0740,unknown,unknown,risk_seeking,compared_multiple,opponent,-190,440,hand_strength,1.0
texas-holdem_web__DVzcJFH,0728,unknown,unknown,balanced,compared_multiple,opponent,-80,220,hand_strength,1.0
texas-holdem_web__Db5mwK8,0493,unknown,unknown,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__DjxTYL7,0741,unknown,unknown,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__DoEMBQw,0189,unknown,unknown,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__Dorbjkt,0881,unknown,unknown,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__DqGqgC4,0511,unknown,unknown,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__DrECh7K,0890,unknown,unknown,balanced,deep_research,player,140,280,hand_strength,1.0
texas-holdem_web__DtPjbGa,0137,unknown,unknown,balanced,compared_multiple,opponent,-200,400,hand_strength,1.0
texas-holdem_web__E42UZGT,0416,unknown,unknown,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__E4Fjjbk,0466,unknown,unknown,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__E4JXSGJ,0310,unknown,unknown,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__E5THwU2,0898,unknown,unknown,balanced,compared_multiple,opponent,-140,340,hand_strength,1.0
texas-holdem_web__EFZ5DWg,0597,unknown,unknown,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__EJfpfXJ,0523,unknown,unknown,balanced,compared_multiple,opponent,-80,160,hand_strength,1.0
texas-holdem_web__EQefceJ,0024,unknown,unknown,risk_averse,compared_multiple,opponent,-80,160,hand_strength,1.0
texas-holdem_web__EXny27W,0152,unknown,unknown,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__EZd3fNd,0333,unknown,unknown,balanced,compared_multiple,player,520,1040,hand_strength,1.0
texas-holdem_web__Ebj7MdS,0778,unknown,unknown,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__Ei6EQFE,0904,unknown,unknown,balanced,quick_pick,player,20,60,hand_strength,1.0
texas-holdem_web__EkRzMLB,0737,unknown,unknown,risk_averse,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__EnSAERg,0766,unknown,unknown,balanced,compared_multiple,opponent,-20,40,hand_strength,1.0
texas-holdem_web__EoN6gAB,0887,unknown,unknown,balanced,hesitant,opponent,-20,100,hand_strength,1.0
texas-holdem_web__EoUaX3j,0410,unknown,unknown,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__EsJqBdq,0362,unknown,unknown,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__EsKNXhW,0255,unknown,unknown,opportunistic,compared_multiple,player,70,220,hand_strength,1.0
texas-holdem_web__F5BrchY,0634,unknown,unknown,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__F9s7SSh,0727,unknown,unknown,balanced,compared_multiple,opponent,-20,40,hand_strength,1.0
texas-holdem_web__FB5tZox,0507,unknown,unknown,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__FGRSYAN,0672,unknown,unknown,risk_averse,compared_multiple,opponent,-20,40,hand_strength,1.0
texas-holdem_web__FKUMgyJ,0953,unknown,unknown,opportunistic,compared_multiple,player,280,560,hand_strength,1.0
texas-holdem_web__FPMpbaf,0802,unknown,unknown,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__FPNdDCJ,0886,unknown,unknown,balanced,compared_multiple,tie,0,400,hand_strength,1.0
texas-holdem_web__FQV95hC,0568,unknown,unknown,balanced,quick_pick,player,20,60,hand_strength,0.0
texas-holdem_web__FSWN7sX,0452,unknown,unknown,opportunistic,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__FTHMsBk,0603,unknown,unknown,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__FUaU3aR,0824,unknown,unknown,risk_averse,hesitant,player,20,40,hand_strength,1.0
texas-holdem_web__FV8Sap2,0712,unknown,unknown,balanced,hesitant,opponent,-80,220,hand_strength,1.0
texas-holdem_web__FYDVK3X,0481,unknown,unknown,risk_averse,compared_multiple,opponent,-80,160,hand_strength,1.0
texas-holdem_web__FcPeXPB,0951,unknown,unknown,balanced,compared_multiple,player,140,280,hand_strength,1.0
texas-holdem_web__Fdhtzsr,0604,unknown,unknown,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__FnAKMpw,0980,unknown,unknown,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__FvL8QS2,0371,unknown,unknown,balanced,quick_pick,opponent,-80,220,hand_strength,1.0
texas-holdem_web__FxJbpMQ,0569,unknown,unknown,balanced,quick_pick,player,20,80,hand_strength,1.0
texas-holdem_web__G65L4e8,0398,unknown,unknown,risk_averse,quick_pick,player,20,40,hand_strength,1.0
texas-holdem_web__G7isKv3,0965,unknown,unknown,risk_seeking,quick_pick,player,20,90,hand_strength,1.0
texas-holdem_web__G9csgwj,0830,unknown,unknown,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__GA2a693,0402,unknown,unknown,balanced,compared_multiple,opponent,-80,220,hand_strength,1.0
texas-holdem_web__GBGuLAD,0345,unknown,unknown,balanced,compared_multiple,player,140,280,hand_strength,1.0
texas-holdem_web__GGAZM9C,0262,unknown,unknown,balanced,compared_multiple,player,260,520,hand_strength,1.0
texas-holdem_web__GKMa77x,0836,unknown,unknown,risk_averse,compared_multiple,opponent,-20,40,hand_strength,1.0
texas-holdem_web__GQJAumZ,0680,unknown,unknown,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__GSe6k78,0827,unknown,unknown,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__GUnNvmo,0403,unknown,unknown,balanced,compared_multiple,opponent,-20,100,pot_odds,1.0
texas-holdem_web__GW2oyEX,0590,unknown,unknown,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__GYwuD5V,0625,unknown,unknown,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__GaGJvPZ,0082,unknown,unknown,balanced,deep_research,tie,0,620,hand_strength,1.0
texas-holdem_web__GauYKSW,0489,unknown,unknown,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__Gh7Arai,0032,unknown,unknown,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__GhYvmkZ,0367,unknown,unknown,risk_seeking,quick_pick,player,20,40,hand_strength,1.0
texas-holdem_web__GhjmbbX,0039,unknown,unknown,balanced,compared_multiple,opponent,-20,40,hand_strength,1.0
texas-holdem_web__GiygMei,0946,unknown,unknown,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__GkPMkJ4,0438,unknown,unknown,balanced,compared_multiple,player,200,400,hand_strength,1.0
texas-holdem_web__Gmf2kE3,0858,unknown,unknown,risk_averse,hesitant,opponent,-20,100,hand_strength,1.0
texas-holdem_web__GqTsk5f,0118,unknown,unknown,balanced,compared_multiple,player,70,140,hand_strength,1.0
