pair_id,source_attribute_id,target_attribute_id,source_label,target_label,source_category,target_category,source_subcategory,target_subcategory,embedding_similarity,lexical_similarity,evidence_support,retrieval_relation_hint,retrieval_status,candidate_source,step4_relation_hint,step4_score,pre_llm_pair_score,relation_type,merge_decision,direction,llm_confidence,rationale,final_merge_confidence,llm_provider,llm_model
pair_attr_life_context_and_constraints_fa__attr_life_context_and_constraints_re__8ea0232b377b,attr_life_context_and_constraints__father_s_occupational_prestige_score_1970__4f65483788,attr_life_context_and_constraints__respondent_s_occupational_prestige_score_1970__f5931facf3,father's occupational prestige score (1970),respondent's occupational prestige score(1970),Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8955,1.0,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.8989,related_but_distinct,keep_separate,none,0.95,"Both attributes measure occupational prestige scores but for different individuals (father vs. respondent), making them related but distinct persona attributes.",0.9171,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_x__attr_life_context_and_constraints_x__fd415984c861,attr_life_context_and_constraints__x_should_be_admitted_to_be_hospitalized_for_treatment__450c911304,attr_life_context_and_constraints__x_should_be_admitted_to_be_hospitalized_for_treatment__9b8c94e13c,x should be admitted to be hospitalized for treatment if dangerous to others,x should be admitted to be hospitalized for treatment if dangerous to x,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9145,0.9524,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9524,0.8975,conflicts_with,keep_separate,none,0.9,"The two attributes differ in the subject of danger: one concerns danger to others, the other danger to self. These are inverse/conflicting conditions and should not be merged.",0.8931,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_vo__attr_life_context_and_constraints_vo__9a298590d095,attr_life_context_and_constraints__vote_on_open_housing_law_no_volunteered_response_on_we__fcdc7cf4f4,attr_life_context_and_constraints__vote_on_open_housing_law_with_volunteered_response_on__34023b287e,vote on open housing law (no volunteered response on web),vote on open housing law (with volunteered response on web),Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9118,0.9483,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9483,0.895,related_but_distinct,keep_separate,none,0.9,"Both attributes measure voting on the same law but differ by inclusion of volunteered web responses, making them related but distinct.",0.8917,openai,gpt-4.1-mini
pair_attr_domain_specific_overlays_streng__attr_domain_specific_overlays_streng__06987c5e6ad2,attr_domain_specific_overlays__strength_of_affiliation_no_volunteered_response_on_web__bf4ad81f19,attr_domain_specific_overlays__strength_of_affiliation_with_volunteered_response_on_w__5d6b2c0cbf,strength of affiliation (no volunteered response on web),strength of affiliation (with volunteered response on web),Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.9003,0.9474,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9474,0.8884,related_but_distinct,keep_separate,none,0.9,"Both attributes measure strength of affiliation but differ by inclusion of volunteered response, making them related but distinct constructs.",0.8881,openai,gpt-4.1-mini
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__8b33314963f3,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__2e31058e42,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__45e73d5ef4,percent of people who shopped at the supermarket during childhood who were some,percent of people who shopped at the supermarket during childhood who were white,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.8948,0.956,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.956,0.8876,related_but_distinct,keep_separate,none,0.9,Attribute A is a general group (some) while Attribute B specifies a subgroup (white); they are related but distinct and should not be merged.,0.8878,openai,gpt-4.1-mini
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__1ca255bbc90c,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__3d9e4b77d5,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__fb8aaad2ce,percent of people who shopped at the supermarket during childhood who were asian,percent of people who shopped at the supermarket during childhood who were black,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.8947,0.95,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.95,0.886,related_but_distinct,keep_separate,none,0.95,"Attributes measure similar behaviors but for different racial groups, thus related but distinct and should be kept separate.",0.9093,openai,gpt-4.1-mini
pair_attr_demographics_and_population_did__attr_demographics_and_population_did__5fe9b5d086de,attr_demographics_and_population__did_partner_work_outside_home_after_child_started_scho__afb6fb9931,attr_demographics_and_population__did_r_work_outside_home_after_child_started_school__3419750b85,did partner work outside home after child started school,did r work outside home after child started school,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8979,0.9434,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9434,0.8861,alias_of,merge,symmetric,0.95,"Both attributes refer to the same concept of whether the partner (r) worked outside the home after the child started school, differing only in label wording.",0.9093,openai,gpt-4.1-mini
pair_attr_domain_specific_overlays_feelin__attr_domain_specific_overlays_feelin__1e5d9fe215fa,attr_domain_specific_overlays__feelings_about_the_bible_no_volunteered_response_on_we__b0021cca79,attr_domain_specific_overlays__feelings_about_the_bible_with_volunteered_response_on__7b58179870,feelings about the bible (no volunteered response on web),feelings about the bible (with volunteered response on web),Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.8936,0.9483,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9483,0.885,related_but_distinct,keep_separate,none,0.9,"Both attributes measure feelings about the Bible but differ by inclusion of volunteered responses, indicating related but distinct constructs rather than duplicates or aliases.",0.8863,openai,gpt-4.1-mini
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__7a72e49ee9cd,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__2e31058e42,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__3d9e4b77d5,percent of people who shopped at the supermarket during childhood who were some,percent of people who shopped at the supermarket during childhood who were asian,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.8925,0.956,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.956,0.8863,not_related,keep_separate,none,0.95,"Attribute A refers to a general group 'some' people who shopped at the supermarket during childhood, while Attribute B specifies 'Asian' people, a distinct subgroup. They are related but distinct demographic attributes, not duplicates or aliases.",0.9096,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_wh__attr_life_context_and_constraints_wh__89ef9828f60d,attr_life_context_and_constraints__who_r_thinks_should_be_most_responsible_for_cost_of_xs__b6cae17ae0,attr_life_context_and_constraints__who_r_thinks_should_be_next_most_responsible_for_cost__3c8d8f893e,who r thinks should be most responsible for cost of xs medical care,who r thinks should be next most responsible for cost of xs medical care,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8931,0.964,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.964,0.8886,related_but_distinct,keep_separate,none,0.95,"Attributes differ by responsibility order (most vs next most), indicating related but distinct roles rather than duplicates or aliases.",0.911,openai,gpt-4.1-mini
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__51d7f4dd2ab4,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__2e31058e42,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__fb8aaad2ce,percent of people who shopped at the supermarket during childhood who were some,percent of people who shopped at the supermarket during childhood who were black,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.8996,0.9434,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9434,0.887,not_related,keep_separate,none,0.95,"Attribute A refers to a general group 'some' who shopped at the supermarket during childhood, while Attribute B specifies the subgroup 'black' within that group. They are related but distinct demographic attributes, not duplicates or aliases.",0.9098,openai,gpt-4.1-mini
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__afca2bb2b91e,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__45e73d5ef4,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__fb8aaad2ce,percent of people who shopped at the supermarket during childhood who were white,percent of people who shopped at the supermarket during childhood who were black,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.897,0.9375,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9375,0.8841,inverse_pole,keep_separate,symmetric,0.95,"Attributes represent complementary racial categories (white vs black) within the same context, making them inverse poles rather than duplicates or aliases.",0.9082,openai,gpt-4.1-mini
pair_attr_domain_specific_overlays_divorc__attr_domain_specific_overlays_divorc__5ea177b5bd9d,attr_domain_specific_overlays__divorce_laws_no_volunteered_response_on_web__046c131099,attr_domain_specific_overlays__divorce_laws_with_volunteered_response_on_web__373bfcb145,divorce laws (no volunteered response on web),divorce laws (with volunteered response on web),Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.8961,0.9348,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9348,0.883,related_but_distinct,keep_separate,none,0.9,"Both attributes concern divorce laws but differ by response type (no volunteered response vs. with volunteered response), indicating related but distinct data collection methods rather than duplicates or aliases.",0.885,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_re__attr_life_context_and_constraints_sp__ce4471ebe2d6,attr_life_context_and_constraints__respondent_s_industry_code_1970__e18a463178,attr_life_context_and_constraints__spouse_s_industry_code_1970__b3f3e9ebf6,respondent's industry code (1970),spouse's industry code (1970),Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8633,1.0,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.8812,related_but_distinct,keep_separate,none,0.95,"Both attributes refer to industry codes from 1970 but for different individuals (respondent vs spouse), making them related but distinct persona attributes.",0.9074,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_al__attr_life_context_and_constraints_pu__acf8f628b2ab,attr_life_context_and_constraints__all_other_income_past_12_months_use_adjinc_to_adjust_t__fe9838cdd0,attr_life_context_and_constraints__public_assistance_income_past_12_months_use_adjinc_to__fe297feec8,All other income past 12 months (use ADJINC to adjust to constant dollars),Public assistance income past 12 months (use ADJINC to adjust to constant dollars),Life Context & Constraints,Life Context & Constraints,poverty public assistance and retirement income,poverty public assistance and retirement income,0.9159,0.8846,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.8813,related_but_distinct,keep_separate,none,0.95,"Both attributes relate to income in the past 12 months adjusted by ADJINC, but one is 'All other income' and the other is specifically 'Public assistance income', indicating related but distinct constructs.",0.9059,openai,gpt-4.1-mini
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__d6edc985072f,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__3d9e4b77d5,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__45e73d5ef4,percent of people who shopped at the supermarket during childhood who were asian,percent of people who shopped at the supermarket during childhood who were white,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.89,0.95,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.95,0.8834,inverse_pole,keep_separate,symmetric,0.95,"Attributes represent complementary demographic groups (Asian vs White) within the same context, making them inverse poles rather than duplicates or aliases.",0.9079,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_al__attr_life_context_and_constraints_re__6fd0f9dca9f5,attr_life_context_and_constraints__all_other_income_past_12_months_use_adjinc_to_adjust_t__fe9838cdd0,attr_life_context_and_constraints__retirement_income_past_12_months_use_adjinc_to_adjust__1fca0ceb6f,All other income past 12 months (use ADJINC to adjust to constant dollars),Retirement income past 12 months (use ADJINC to adjust to constant dollars),Life Context & Constraints,Life Context & Constraints,poverty public assistance and retirement income,poverty public assistance and retirement income,0.9188,0.8859,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8182,0.8832,related_but_distinct,keep_separate,none,0.95,"Both attributes relate to income in the past 12 months but represent different income sources (all other income vs. retirement income), so they are related but distinct and should not be merged.",0.907,openai,gpt-4.1-mini
pair_attr_behavioral_patterns_and_pref_r__attr_behavioral_patterns_and_pref_r__4dd22491c983,attr_behavioral_patterns_and_pref__r_send_or_receive_to_or_from_family_members_at__484d296afd,attr_behavioral_patterns_and_pref__r_send_or_receive_to_or_from_other_family_members__aed5f63ddc,r send or receive to or from family members at,r send or receive to or from other family members,Behavioral Patterns & Preferences,Behavioral Patterns & Preferences,behavioral patterns and preferences,behavioral patterns and preferences,0.9038,0.9053,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8,0.8798,alias_of,merge,symmetric,0.95,"Both attributes describe the same behavior of sending or receiving to/from family members, with 'other family members' being a likely restatement or alias of 'family members' in this context.",0.9054,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_to__attr_life_context_and_constraints_to__ebb84a073224,attr_life_context_and_constraints__total_person_s_earnings_use_adjinc_to_adjust_to_consta__156774fc0f,attr_life_context_and_constraints__total_person_s_income_use_adjinc_to_adjust_to_constant__9289ef986d,Total person's earnings (use ADJINC to adjust to constant dollars),Total person's income (use ADJINC to adjust to constant dollars),Life Context & Constraints,Life Context & Constraints,employment work hours occupation industry and income,employment work hours occupation industry and income,0.8969,0.9231,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9231,0.8805,alias_of,merge,symmetric,0.95,"The attributes differ only in wording 'earnings' vs 'income' but both refer to total personal monetary amount adjusted by ADJINC, indicating they are aliases.",0.906,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_x__attr_life_context_and_constraints_x__e46f120bd221,attr_life_context_and_constraints__x_family_should_be_ashamed_to_receive_govt_assistance__1639fcfa1f,attr_life_context_and_constraints__x_should_be_ashamed_to_receive_govt_assistance__f2b494ef6d,x family should be ashamed to receive govt assistance,x should be ashamed to receive govt assistance,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8915,0.9293,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9293,0.8791,alias_of,merge,symmetric,0.95,Both attributes express the same concept with minor lexical variation; one includes 'family' explicitly but the meaning is equivalent.,0.9053,openai,gpt-4.1-mini
pair_attr_demographics_and_population_is__attr_demographics_and_population_is__70b5e19d43fb,attr_demographics_and_population__is_r_us_citizen_no_volunteered_response_on_web__3320a635de,attr_demographics_and_population__is_r_us_citizen_with_volunteered_response_on_web__6d66b450bc,is r us citizen (no volunteered response on web),is r us citizen (with volunteered response on web),Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8857,0.9388,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9388,0.8782,related_but_distinct,keep_separate,none,0.9,"Both attributes measure US citizenship status but differ by inclusion of volunteered response on web, indicating related but distinct data collection methods.",0.8825,openai,gpt-4.1-mini
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__db3381a22ecc,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__f14635a675,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__fb8aaad2ce,percent of people who shopped at the supermarket during childhood who were latin,percent of people who shopped at the supermarket during childhood who were black,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.876,0.9625,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9625,0.8788,not_related,keep_separate,none,0.95,"Attributes measure percentages of different racial groups (Latin vs Black) who shopped at the supermarket during childhood; they are distinct demographic attributes, not duplicates or aliases.",0.9056,openai,gpt-4.1-mini
pair_attr_cognitive_and_capability_pro_re__attr_cognitive_and_capability_pro_sp__bc919c6df553,attr_cognitive_and_capability_pro__respondent_s_highest_degree__35ce2ba9d9,attr_cognitive_and_capability_pro__spouse_s_highest_degree__325442991a,respondent's highest degree,spouse's highest degree,Cognitive & Capability Profile,Cognitive & Capability Profile,cognitive and capability profile,cognitive and capability profile,0.8507,1.0,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.8743,related_but_distinct,keep_separate,none,0.95,"Attributes refer to highest degree of different individuals (respondent vs spouse), thus related but distinct and should be kept separate.",0.9036,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_go__attr_life_context_and_constraints_go__87285172e9c8,attr_life_context_and_constraints__government_should_verify_financial_assets__e6edad635e,attr_life_context_and_constraints__government_should_verify_spouse_s_financial_assets__c1b2b5d69d,government should verify financial assets,government should verify spouse's financial assets,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9009,0.9011,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8333,0.8772,related_but_distinct,keep_separate,none,0.9,"Attributes differ in scope: one refers to verifying individual's financial assets, the other specifically spouse's assets; related but distinct aspects of life context.",0.8814,openai,gpt-4.1-mini
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__afa4f139e614,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__3d9e4b77d5,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__f14635a675,percent of people who shopped at the supermarket during childhood who were asian,percent of people who shopped at the supermarket during childhood who were latin,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.8691,0.975,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.975,0.8782,not_related,keep_separate,none,0.95,"Attributes describe percentages of different ethnic groups (Asian vs Latin) who shopped at the supermarket during childhood; they are distinct demographic variables, not duplicates or aliases.",0.9054,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_mi__attr_life_context_and_constraints_pl__d2472ad72eff,attr_life_context_and_constraints__migration_puma_based_on_2020_census_definition__7f04c96215,attr_life_context_and_constraints__place_of_work_puma_based_on_2020_census_definition__4bdfd17199,Migration PUMA based on 2020 Census definition,Place of work PUMA based on 2020 Census definition,Life Context & Constraints,Life Context & Constraints,migration military and place of work,migration military and place of work,0.9366,0.8125,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.7143,0.8747,related_but_distinct,keep_separate,none,0.95,Migration PUMA and Place of work PUMA are related geographic attributes within the same subcategory but represent distinct concepts and are not duplicates or aliases.,0.9013,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_fa__attr_life_context_and_constraints_re__82ba6b31430d,attr_life_context_and_constraints__father_s_industry_code_1970__0fdfc46a8a,attr_life_context_and_constraints__respondent_s_industry_code_1970__e18a463178,father's industry code (1970),respondent's industry code (1970),Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.85,1.0,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.8739,related_but_distinct,keep_separate,none,0.9,"Both attributes refer to industry codes from 1970 but for different individuals (father vs respondent), making them related but distinct persona attributes.",0.8809,openai,gpt-4.1-mini
